student_id,first_name,last_name,dob,gender,email,phone_number,password,national_id,register_date,province,address,status
S084,George,Cunningham,2006-01-19,male,cameronlopez@gonzalez.com,530-550-0044,^wDTY9kl6),505-31-9071,2025-01-08,Mississippi,"20985 Laura Mountains Lake Megan, OH 05807",1
S085,Patrick,Noble,2004-12-15,female,kimberly21@bauer.com,664.054.3449,^VieJsYab2,699-49-5585,2025-01-28,Wyoming,"31859 Goodwin Fork Camachoborough, CO 85948",1
S086,Christopher,Dyer,2003-11-30,female,rmartinez@brown-bautista.com,071.882.3797,556SYDajp^,439-97-6976,2025-03-22,Maryland,"874 Murphy Vista Bakertown, WI 77730",1
S087,Harry,Lee,2006-12-30,female,esparzakathleen@gmail.com,288.848.6478,jS5k6@jf^@,684-49-0143,2025-03-27,Idaho,"51995 Ronald Inlet Apt. 024 Michaeltown, AL 36907",1
S088,Autumn,Webb,2004-03-29,male,eric63@yahoo.com,888-912-7700,7v2IcXSj*5,152-29-9010,2025-03-18,Georgia,"3277 Morgan Springs South Benjamin, IA 11521",1
S089,Michelle,Bray,2005-04-03,male,cpotter@yahoo.com,+1-260-550-9525,@$5cB!rxrp,021-72-0289,2025-03-18,Florida,"5431 Erin Course Denisefort, AK 32448",1
S090,Ruben,Pierce,2002-10-02,female,boydalan@grant-jones.com,4675470845,!7M50V#yAv,801-55-3975,2025-03-11,Texas,Unit 8682 Box 3788 DPO AE 23699,1
S091,Mark,Cole,2007-01-17,male,pattonmelissa@yahoo.com,702-537-1855,k_Zw8uMf#Z,224-07-2920,2025-01-30,West Virginia,"70951 Farrell Coves Suite 520 South Sharonstad, ND 17792",1
S092,Kevin,Cruz,2006-07-08,female,xmiller@yahoo.com,503560198,BC32T(iI(Z,023-70-5119,2025-02-02,Washington,"962 Ruiz Unions Suite 070 Lake Jamieland, WV 44211",1
S093,Roy,Mccormick,2006-07-12,female,kathleen56@caldwell-may.com,(998)499-0316,%5Xyo_o@&4,319-20-4606,2025-02-23,Idaho,"56295 Walsh Loaf Suite 778 New Gail, VA 08073",1
S094,Anthony,Lawrence,2004-07-26,female,colemary@gmail.com,162.540.8856,x6eKyKLm(T,209-57-8544,2025-01-24,Nevada,"6582 Heather Parkway Lake Valerie, MS 42467",1
S095,Marissa,Ryan,2005-11-17,female,michaellarsen@yahoo.com,3637314697,f$82QgRVMf,849-19-0896,2025-01-24,Maryland,"443 Craig Viaduct New Joshua, UT 03352",1
S096,Elizabeth,Barnett,2003-05-06,male,martinwilson@yahoo.com,1394462214,g)4)SVRo3L,336-97-9173,2025-03-05,North Carolina,Unit 5422 Box 9085 DPO AP 97521,1
S097,Keith,Craig,2003-12-22,female,jamie58@johnson.com,361.139.3266,01W#qn1)!F,703-54-2755,2025-02-08,Louisiana,"451 Ryan Forges Port Jeremyville, NH 81644",1
S098,Natalie,Bennett,2006-06-29,male,ruben39@gmail.com,(315)323-0567,zb^I3X#v)F,090-92-0050,2025-01-15,South Dakota,Unit 7770 Box 4102 DPO AE 12053,1
S099,Jill,Thomas,2002-07-01,female,barnesdavid@yahoo.com,170-815-2829,Q*u6^Tn8X_,521-85-4947,2025-02-03,Idaho,"51111 Kimberly Ridges New Jacqueline, SD 20291",1
S100,Samantha,Turner,2006-07-27,male,morrisonstephanie@patel.org,783-738-8174,*(C2UjAi1Z,714-49-2594,2025-03-21,Arkansas,"32921 Boyer Route Guzmanburgh, KS 41769",1
S101,Jimmy,Phelps,2006-10-15,female,znorris@yahoo.com,045.423.5979,(6JbX3%u%r,053-50-3354,2025-02-13,Arizona,"6552 Austin Fall Stephanieton, ID 13028",1
S102,Stephen,Jackson,2006-04-10,female,garciamargaret@lynch-harvey.biz,+1-739-062-0674,!Y4dI&gbdP,338-49-0347,2025-03-29,Maryland,"92957 Spencer Court Apt. 896 Davidmouth, NY 19585",1
S103,Sandra,Harris,2005-06-10,male,robertcox@gmail.com,6615823067,*8rYNv&$kk,431-29-2248,2025-01-19,Montana,"08244 Amanda Parks Suite 624 Lake Stacy, MA 56057",1
S104,Mark,Nelson,2002-12-15,female,juliefloyd@price-sims.com,999.394.4156,arm7GD*x*6,182-06-8158,2025-02-26,Wisconsin,"755 Morales Trace East Shannonton, WA 47132",1
S105,Derek,Cook,2004-04-25,female,johnnyross@gmail.com,596.376.3380,$@NXuzIyN2,770-57-3346,2025-01-16,Arizona,"65063 Santos Cove New Anthonybury, MN 78673",1
S106,Jennifer,Mcdonald,2004-03-22,male,frederickmorgan@hall.com,3412316602,jF$1Bsxn+g,496-11-1147,2025-03-07,Louisiana,"91438 Figueroa Ranch Apt. 467 Carlberg, RI 16033",1
S107,Jessica,Valenzuela,2006-01-09,female,tapiabryan@yahoo.com,155-696-0598,+0B@mmc$IL,730-20-5632,2025-02-12,Oregon,"349 Barnes Vista Castroton, NV 62233",1
S108,Devin,Powell,2004-10-26,male,jacobsjohn@bailey.net,838-144-8267,EA)*8IyUzH,621-14-3206,2025-03-06,Tennessee,"7202 Nathan Street New Eric, WI 40966",1
S109,Kristin,Lopez,2006-01-14,male,ralph73@hotmail.com,+1-228-528-7162,711!K5Sr$%,190-76-2016,2025-03-20,Montana,"987 Schmitt Inlet Apt. 288 Johnstad, NM 09555",1
S110,Charles,Holloway,2003-12-23,male,wbryant@mathews-morales.com,(369)311-1486,_7mKbuLMn0,670-52-3568,2025-03-28,Hawaii,"PSC 4625, Box 1385 APO AE 22242",1
S111,Lisa,Ferguson,2005-09-28,female,lynnmcdonald@hotmail.com,198.996.3018,3$m769XuXb,380-33-9984,2025-01-29,New Mexico,"38635 Roger View Abigailmouth, HI 93617",1
S112,Donald,Clark,2006-10-30,female,gregorygoodwin@gmail.com,585-763-7124,!99Gv+s3I@,073-96-9879,2025-01-15,Michigan,"22410 Nicholas Inlet West Codyland, IN 64929",1
S113,David,Patel,2005-05-07,female,robertwilkinson@gmail.com,+1-562-924-4336,bC0KFQaq(3,040-61-1281,2025-03-22,Texas,"37756 Hansen Cliffs Apt. 672 West Sonyashire, NE 08666",1
S114,Caitlin,Franklin,2002-05-14,female,brandonhernandez@stone.com,(236)508-7148,5^4dWPic(c,449-68-8377,2025-01-31,New Mexico,"7538 Jordan Branch Suite 494 North Melvinmouth, WY 65775",1
S115,Wanda,Cherry,2003-08-07,male,sandramcdowell@yahoo.com,+1-533-494-9441,4%v3QCYl$3,864-91-8442,2025-03-02,South Carolina,"58784 Christensen Inlet Apt. 937 Bowmanmouth, NM 41972",1
S116,Alyssa,Morales,2003-04-01,female,zachary01@gmail.com,(128)650-0675,rTI8GGBs1_,735-98-9123,2025-03-24,Alabama,"042 Vargas Radial Port Sabrina, OH 90165",1
S117,Kathleen,Miller,2004-01-01,female,dgrant@williamson.info,043.088.0466,r9eyWAV!%2,414-19-8776,2025-03-05,Pennsylvania,"469 Andrews Vista Petersonshire, IN 59659",1
S118,Jennifer,Harper,2003-03-07,female,chavezjohn@hotmail.com,1043086069,*Kt3Rayq_g,843-52-8205,2025-01-25,Wisconsin,"29281 Monica Creek Lake Renee, RI 72523",1
S119,Joseph,Adams,2006-07-28,female,kramerwilliam@yahoo.com,+1-422-783-5611,#i2tJIbnD6,737-20-7314,2025-03-08,West Virginia,"045 Jonathan Cliff Apt. 037 West Christopherstad, KY 77399",1
S120,Alyssa,Willis,2007-01-14,female,tnorris@yahoo.com,+1-518-074-6030,H5YDg0_(_k,122-57-3545,2025-01-01,West Virginia,"4660 Johnson Radial Suite 598 Beltranport, AR 80071",1
S121,Eric,Smith,2004-03-11,male,wcooper@summers.com,(014)668-2471,%7heJV@ih&,738-99-6869,2025-01-14,Wyoming,"765 Matthew Crest Lake Christopher, WY 98730",1
S122,Veronica,Ellis,2003-09-16,male,rpeterson@hoffman-jackson.com,+1-084-296-8575,#13pDdH9w*,209-20-7576,2025-03-11,Missouri,"21590 Elizabeth Manor Suite 663 Lake Mikeland, ND 75036",1
S123,Carrie,Bartlett,2006-10-30,female,jocelyn02@hotmail.com,+1-306-533-5992,**I(Jh%gv0,424-14-3662,2025-02-18,West Virginia,"824 Casey Heights Suite 289 East Michaelport, OR 92026",1
S124,Robert,Stuart,2006-01-09,male,amandabean@yahoo.com,473-171-3766,!4((v#acQX,030-68-9025,2025-02-27,Iowa,"188 Michelle Point New Karenport, OH 06776",1
S125,Arthur,Walls,2002-06-30,female,gcooper@gmail.com,959.877.3427,5J4YyXHK%+,315-53-4559,2025-01-09,Kentucky,"9129 Daniels Dale Hartburgh, CT 47360",1
S126,Lynn,Good,2002-05-01,female,tiffanymiller@dominguez-harris.biz,3686185488,n0LJiLiE$u,751-72-8182,2025-01-26,California,"7538 Cruz Villages Suite 786 East Ernest, CA 13765",1
S127,Jason,Moreno,2005-10-09,male,adamwagner@yahoo.com,384.351.7784,CWT)f*u(%2,718-30-5809,2025-02-11,Nebraska,"89727 Todd Burg Apt. 553 Ericborough, MA 74390",1
S128,David,Bailey,2002-09-09,male,paula75@gmail.com,1260418245,8NuUa6kv!T,308-18-5300,2025-01-02,Wyoming,"480 Ortiz Camp Suite 208 Jensenville, FL 23712",1
S129,Ronald,Frank,2002-08-18,male,chavezdavid@hotmail.com,691-630-0993,*1TQA@uuk4,539-06-8932,2025-01-07,Florida,"899 Stewart Spring Suite 013 East William, WY 38809",1
S130,Travis,Ramsey,2006-04-26,male,whitekeith@adams.net,6502393544,#rYJC!szb3,805-43-0270,2025-01-19,Nebraska,"74996 Emily Ridges Lake Aprilport, NM 60723",1
S131,Tyler,Lopez,2004-08-09,male,sanchezkaren@yahoo.com,(712)640-1394,*O_zpOot7Y,416-72-2391,2025-01-13,New Jersey,"3574 Joel Falls Port Thomasmouth, MD 70875",1
S132,Michael,Kelly,2005-02-23,male,jonathan59@morales.net,6653534421,kzfVMbn4(7,637-25-8316,2025-03-11,New York,"45287 Johnson Rapid Apt. 959 Jarvisberg, DE 23082",1
S133,Johnny,Johnson,2004-04-08,female,wlopez@hotmail.com,164687701,QpR_4QEc&6,122-97-3378,2025-01-18,California,"9557 Vargas Valleys Apt. 210 Lake Kathryn, UT 25047",1
S134,Kathryn,Barnes,2006-04-15,female,romerolori@thompson.net,860.979.3982,VDo5VmyZ^M,682-32-8612,2025-03-05,California,USNS Mendez FPO AE 83402,1
S135,Angela,Jimenez,2006-02-26,female,anthony93@robinson-juarez.com,642181425,mn0p^gWnn@,584-31-7328,2025-03-25,Louisiana,"303 Jones Freeway Suite 395 West Barryville, OR 48197",1
S136,Adrian,Mccann,2005-01-09,female,campbellvirginia@adams.com,213.312.0943,sr8bWZD3g#,433-26-7061,2025-01-26,Arizona,"3098 Reed Junction Suite 113 New Susan, MT 27911",1
S137,Susan,Parrish,2007-01-18,female,nicholascole@hudson-ross.org,1863552332,Wkaay5Tm!Z,041-93-8366,2025-02-13,Wyoming,USS Cox FPO AP 72051,1
S138,Anne,Reed,2005-07-14,female,katherine64@hotmail.com,3039964058,)deHr*qGv7,375-26-5168,2025-03-02,Mississippi,"31370 Ashley Plains Apt. 889 Leeport, ND 48254",1
S139,Luke,Arnold,2004-06-23,female,vdelgado@clark-medina.org,854.332.1170,W6h58&s2+X,601-27-5308,2025-02-28,Washington,"412 Jessica Court Martinezton, KY 20646",1
